Timestamp,Source IP,Destination IP,Protocol,Destination Port
2026-09-19 20:33:03,10.166.133.86,10.166.133.45,UDP,53
2026-09-19 20:33:03,10.166.133.86,10.166.133.45,UDP,53
2026-09-19 20:33:03,10.166.133.45,10.166.133.86,UDP,49154
2026-09-19 20:33:03,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:03,10.166.133.45,10.166.133.86,UDP,49154
2026-09-19 20:33:03,10.166.133.86,4.150.223.99,TCP,443
2026-09-19 20:33:03,10.166.133.86,4.150.223.99,TCP,443
2026-09-19 20:33:03,10.166.133.86,4.150.223.99,TCP,443
2026-09-19 20:33:03,10.166.133.86,4.150.223.99,TCP,443
2026-09-19 20:33:03,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:03,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:03,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:03,10.166.133.86,49.44.79.236,TCP,8081
2026-09-19 20:33:03,10.166.133.86,49.44.79.236,TCP,8081
2026-09-19 20:33:03,10.166.133.86,49.44.79.236,TCP,8081
2026-09-19 20:33:03,10.166.133.86,49.44.79.236,TCP,8081
2026-09-19 20:33:03,10.166.133.86,49.44.79.236,TCP,8081
2026-09-19 20:33:03,4.150.223.99,10.166.133.86,TCP,59113
2026-09-19 20:33:03,4.150.223.99,10.166.133.86,TCP,59113
2026-09-19 20:33:03,4.150.223.99,10.166.133.86,TCP,59113
2026-09-19 20:33:03,10.166.133.86,4.150.223.99,TCP,443
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:04,141.94.23.83,10.166.133.86,TCP,62365
2026-09-19 20:33:04,10.166.133.86,141.94.23.83,TCP,10343
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:04,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:05,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:05,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:05,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:05,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:05,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:05,10.166.133.86,20.184.175.7,TCP,443
2026-09-19 20:33:05,20.184.175.7,10.166.133.86,TCP,49716
2026-09-19 20:33:05,49.44.79.236,10.166.133.86,TCP,49708
2026-09-19 20:33:05,49.44.79.236,10.166.133.86,TCP,49710
2026-09-19 20:33:06,49.44.79.236,10.166.133.86,TCP,49706
2026-09-19 20:33:06,49.44.79.236,10.166.133.86,TCP,49707
2026-09-19 20:33:06,49.44.79.236,10.166.133.86,TCP,49709
2026-09-19 20:33:08,49.44.79.236,10.166.133.86,TCP,49715
2026-09-19 20:33:08,49.44.79.236,10.166.133.86,TCP,49714
2026-09-19 20:33:08,49.44.79.236,10.166.133.86,TCP,49711
2026-09-19 20:33:08,49.44.79.236,10.166.133.86,TCP,49712
2026-09-19 20:33:09,49.44.79.236,10.166.133.86,TCP,49713
2026-09-19 20:33:09,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:09,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:10,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:10,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:10,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:10,10.166.133.86,8.8.4.4,UDP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,10.166.133.86,172.64.155.209,TCP,443
2026-09-19 20:33:10,8.8.4.4,10.166.133.86,UDP,52252
2026-09-19 20:33:10,8.8.4.4,10.166.133.86,UDP,52252
